filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
consumer_none,sensitivity,after_employment_situation,183,7.609129873774845,1.4335857253297732,0.1008995364864219,0.36947911859352495,0.5300546448087432,2.0661793547863683,0.6388226001989059,1.578495715625606,4
structural_reduced_no_price,sensitivity,after_employment_situation,183,7.6093546030773815,1.433626722582819,0.10092191699615309,0.36952011584657063,0.5355191256830601,2.0661743959976104,0.6388571606351701,1.5784979121231801,4
structural_reduced_input,sensitivity,after_employment_situation,183,7.6095181517432025,1.4336781828909597,0.10094641536502383,0.3695715761547115,0.5300546448087432,2.0661763693214077,0.6389590784263494,1.5784979121231801,4
student_t_7_combined,baseline,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4
claims_conditional_joint,sensitivity,after_employment_situation,183,7.616351538221651,1.4332857834684511,0.10074073233580604,0.36917917673220296,0.5300546448087432,2.0686490956380594,0.6389988387741841,1.5591534478447855,4
claims_none,sensitivity,after_employment_situation,183,7.661106747378315,1.4336707889305311,0.10088890489108443,0.3695641821942828,0.5245901639344263,2.1063808080035313,0.6380751730312569,1.590801324791065,4
partial_only,major_benchmark,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4
claims_ccsa_conditional_only,sensitivity,after_employment_situation,183,7.668767935337384,1.4334985509650475,0.10081453457025268,0.3693919442287992,0.5300546448087432,2.1092073351931733,0.6382978267053934,1.570155491091756,4
all_revised_candidate,sensitivity,after_employment_situation,183,12.43984570283882,1.4326400872836933,0.10046830485576654,0.3685334805474449,0.5245901639344263,2.325463748899317,0.6389201566282496,1.5362819614965901,4
consumer_revised_full,sensitivity,after_employment_situation,183,12.446035118689627,1.4327996222659851,0.10055483732636995,0.36869301552973693,0.5245901639344263,2.323641956246731,0.6386790554955117,1.5516728161807563,4
consumer_without_real,sensitivity,after_employment_situation,183,12.44625274949642,1.4328460145987956,0.10057622933694038,0.3687394078625474,0.5245901639344263,2.323637955423827,0.6387787776762611,1.5516728929817372,4
consumer_without_implicit,sensitivity,after_employment_situation,183,12.446519761696436,1.432861791790883,0.10058389885987362,0.3687551850546345,0.5245901639344263,2.3236546644459617,0.6388406377924529,1.5516735148628702,4
consumer_vehicle_only,sensitivity,after_employment_situation,183,12.4466134908463,1.4328789282114023,0.10059158466102112,0.3687723214751541,0.5245901639344263,2.323651100230499,0.6388864689547022,1.5516734772608736,4
transition_only,major_benchmark,after_employment_situation,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
consumer_real_implicit_joint_only,sensitivity,after_midmonth_defining_releases,183,5.685684997730733,1.298383524900678,0.032954519262007015,0.23427691816442978,0.7704918032786885,1.4255947533966948,0.46064118295153944,-0.6105857124281757,4
claims_independent,sensitivity,after_midmonth_defining_releases,183,5.71238867822295,1.301258024758069,0.0338754397213762,0.23715141802182046,0.7595628415300546,1.4141271112643183,0.4823888985901719,-0.6690314879904886,4
consumer_real_only,sensitivity,after_midmonth_defining_releases,183,5.714058827008675,1.3018987113548237,0.034605632687059,0.23779210461857533,0.7540983606557377,1.4271634579847405,0.47850379498272627,-0.7315081872492866,4
business_pipeline_only,sensitivity,after_midmonth_defining_releases,183,5.7237659402841015,1.3013761307892642,0.03399669142674293,0.23726952405301585,0.7704918032786885,1.4240686190102163,0.4822115588397232,-0.6690314879904886,4
business_none,sensitivity,after_midmonth_defining_releases,183,5.723766811767653,1.3013762462198621,0.0339967475507894,0.23726963948361401,0.7704918032786885,1.4240688036028484,0.4822115857049475,-0.6690314879904886,4
business_activity_only,sensitivity,after_midmonth_defining_releases,183,5.723899263866802,1.301396060068575,0.0340066579619728,0.2372894533323268,0.7650273224043715,1.424123366396642,0.48220014794814053,-0.6690314879904886,4
business_revised_joint,sensitivity,after_midmonth_defining_releases,183,5.723935906449838,1.3014012221781714,0.03400938061949788,0.2372946154419231,0.7650273224043715,1.4241405210355047,0.48219513619672727,-0.6690314879904886,4
business_legacy,sensitivity,after_midmonth_defining_releases,183,5.723938277043634,1.301401396659037,0.03400948182675725,0.23729478992278863,0.7650273224043715,1.424140163845886,0.48219549397461753,-0.6690314879904886,4
claims_icsa_only,sensitivity,after_midmonth_defining_releases,183,5.723938277043634,1.301401396659037,0.03400948182675725,0.23729478992278863,0.7650273224043715,1.424140163845886,0.48219549397461753,-0.6690314879904886,4
consumer_legacy,sensitivity,after_midmonth_defining_releases,183,5.723938277043634,1.301401396659037,0.03400948182675725,0.23729478992278863,0.7650273224043715,1.424140163845886,0.48219549397461753,-0.6690314879904886,4
price_import,sensitivity,after_midmonth_defining_releases,183,5.723938277043634,1.301401396659037,0.03400948182675725,0.23729478992278863,0.7650273224043715,1.424140163845886,0.48219549397461753,-0.6690314879904886,4
