evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_price,holm_adjusted_p_value_consumer,holm_adjusted_p_value_business,holm_adjusted_p_value_claims,family,declared_arm,response
full_sample,business_pipeline_only__vs__business_revised_joint,business_pipeline_only,business_revised_joint,core_capital_goods_shipments_log_change,leave_one_out,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,9.634736635582239e-06,0.0,-4.4169450015651115e-07,2.9351921047018375e-05,0.248,9.634736635582239e-06,-4.4169450015651115e-07,2.9351921047018375e-05,0.752,0.4579084183163367,12,1,5000,20260722,,,1.0,,business,leave_one_out,core_capital_goods_shipments_log_change
full_sample,business_revised_joint__vs__business_legacy,business_revised_joint,business_legacy,business,add_one,False,before_any_defining_release,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1,5000,20260722,,,1.0,,business,direct_replacement,
full_sample,business_revised_joint__vs__business_legacy,business_revised_joint,business_legacy,business,add_one,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,-2.8992710617543375e-07,0.0,-9.398585324052267e-07,7.178254398266919e-08,0.9434,2.8992710617543375e-07,-7.17825439826692e-08,9.398585324052267e-07,0.9434,0.17596480703859227,12,1,5000,20260722,,,0.7038592281543691,,business,direct_replacement,
full_sample,business_revised_joint__vs__business_legacy,business_revised_joint,business_legacy,business,add_one,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-5.488528103387738e-07,0.0,-1.8117927075123961e-06,1.676859361503572e-07,0.9466,5.488528103387738e-07,-1.6768593615035726e-07,1.8117927075123961e-06,0.9466,0.16936612677464508,12,1,5000,20260722,,,0.6774645070985803,,business,direct_replacement,
full_sample,business_revised_joint__vs__business_legacy,business_revised_joint,business_legacy,business,add_one,False,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,-1.8940932735120243e-06,0.0,-6.017220064619527e-06,3.29056526375685e-07,0.6984,1.8940932735120243e-06,-3.29056526375685e-07,6.017220064619527e-06,0.6984,0.5182963407318536,12,1,5000,20260722,,,1.0,,business,direct_replacement,
full_sample,claims_ccsa_conditional_only__vs__claims_none,claims_ccsa_conditional_only,claims_none,continued_claims_innovation,add_one,True,before_any_defining_release,hard_quadrant_correct,higher,183,0.02185792349726776,0.0,0.0,0.0546448087431694,0.9156,0.02185792349726776,0.0,0.0546448087431694,0.9156,0.15376924615076984,12,1,5000,20260722,,,,0.8890221955608877,claims,add_one,continued_claims_innovation
full_sample,claims_ccsa_conditional_only__vs__claims_none,claims_ccsa_conditional_only,claims_none,continued_claims_innovation,add_one,True,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,9.401416610258354e-05,0.0,-0.0021820917159303182,0.0017777076380540956,0.4168,-9.401416610258354e-05,-0.0017777076380540969,0.0021820917159303174,0.4168,0.9214157168566287,12,1,5000,20260722,,,,1.0,claims,add_one,continued_claims_innovation
full_sample,claims_ccsa_conditional_only__vs__claims_none,claims_ccsa_conditional_only,claims_none,continued_claims_innovation,add_one,True,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-0.0013523698967580467,0.0,-0.006531136543506641,0.0022309136215064515,0.6908,0.0013523698967580467,-0.002230913621506452,0.006531136543506641,0.6908,0.5692861427714457,12,1,5000,20260722,,,,1.0,claims,add_one,continued_claims_innovation
full_sample,claims_ccsa_conditional_only__vs__claims_none,claims_ccsa_conditional_only,claims_none,continued_claims_innovation,add_one,True,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,-0.00495115999577113,0.0,-0.03276730093758388,0.03468417192368569,0.6498,0.00495115999577113,-0.034684171923685725,0.03276730093758388,0.6498,0.7756448710257948,12,1,5000,20260722,,,,1.0,claims,add_one,continued_claims_innovation
full_sample,claims_conditional_joint__vs__claims_ccsa_conditional_only,claims_conditional_joint,claims_ccsa_conditional_only,initial_claims_innovation,add_one,True,before_any_defining_release,hard_quadrant_correct,higher,183,0.01639344262295082,0.0,-0.01092896174863388,0.04371584699453552,0.82,0.01639344262295082,-0.01092896174863388,0.04371584699453552,0.82,0.29374125174965005,12,1,5000,20260722,,,,0.8890221955608877,claims,add_one,initial_claims_innovation
full_sample,claims_conditional_joint__vs__claims_ccsa_conditional_only,claims_conditional_joint,claims_ccsa_conditional_only,initial_claims_innovation,add_one,True,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,-0.0007878407041848369,0.0,-0.0026349504312332605,0.0005248100219607353,0.8472,0.0007878407041848369,-0.0005248100219607357,0.0026349504312332597,0.8472,0.3203359328134373,12,1,5000,20260722,,,,1.0,claims,add_one,initial_claims_innovation
full_sample,claims_conditional_joint__vs__claims_ccsa_conditional_only,claims_conditional_joint,claims_ccsa_conditional_only,initial_claims_innovation,add_one,True,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-0.0018197769751402523,0.0,-0.005361864755014392,0.0006807235901287556,0.8904,0.0018197769751402523,-0.000680723590128758,0.00536186475501439,0.8904,0.2453509298140372,12,1,5000,20260722,,,,0.9678064387122576,claims,add_one,initial_claims_innovation
full_sample,claims_conditional_joint__vs__claims_ccsa_conditional_only,claims_conditional_joint,claims_ccsa_conditional_only,initial_claims_innovation,add_one,True,before_any_defining_release,score_center_negative_log_predictive_density,lower,183,-0.06572576401723161,0.0,-0.2080088923934946,0.03657696369840256,0.9616,0.06572576401723161,-0.03657696369840258,0.2080088923934946,0.9616,0.138372325534893,12,1,5000,20260722,,,,0.7966406718656269,claims,add_one,initial_claims_innovation
full_sample,claims_conditional_joint__vs__claims_icsa_only,claims_conditional_joint,claims_icsa_only,continued_claims_innovation,add_one,True,before_any_defining_release,hard_quadrant_correct,higher,183,0.02185792349726776,0.0,-0.00546448087431694,0.0546448087431694,0.9042,0.02185792349726776,-0.00546448087431694,0.0546448087431694,0.9042,0.15396920615876825,12,1,5000,20260722,,,,0.8890221955608877,claims,add_one,continued_claims_innovation
full_sample,claims_conditional_joint__vs__claims_icsa_only,claims_conditional_joint,claims_icsa_only,continued_claims_innovation,add_one,True,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,183,-0.0007584450889406306,0.0,-0.002752418535209378,0.0008180224389408317,0.7906,0.0007584450889406306,-0.0008180224389408318,0.0027524185352093737,0.7906,0.4179164167166567,12,1,5000,20260722,,,,1.0,claims,add_one,continued_claims_innovation
full_sample,claims_conditional_joint__vs__claims_icsa_only,claims_conditional_joint,claims_icsa_only,continued_claims_innovation,add_one,True,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,183,-0.0021477494862170137,0.0,-0.006283764451670338,0.0008196422767344352,0.8878,0.0021477494862170137,-0.0008196422767344354,0.0062837644516703355,0.8878,0.2419516096780644,12,1,5000,20260722,,,,0.9678064387122576,claims,add_one,continued_claims_innovation
