evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_replacement_candidates
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,-0.0010393360712072524,0.0,-0.0022758805319627305,9.387495600957047e-05,0.9608,0.0010393360712072524,-9.387495600957068e-05,0.0022758805319627305,0.9608,0.09018196360727855,12,2,5000,20260722,0.16396720655868827
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_midmonth_defining_releases,score_center_negative_log_predictive_density,lower,180,3.3898122867758664e-05,0.0,1.6028795021827441e-09,8.332813509414206e-05,0.0112,-3.3898122867758664e-05,-8.332813509414206e-05,-1.6028795021827508e-09,0.0112,0.08198360327934413,12,2,5000,20260722,0.16396720655868827
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,before_any_defining_release,hard_quadrant_correct,higher,180,0.011111111111111112,0.0,0.0,0.022222222222222223,0.9056,0.011111111111111112,0.0,0.022222222222222223,0.9056,0.10337932413517296,12,2,5000,20260722,0.3101379724055189
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,before_any_defining_release,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,before_any_defining_release,hard_quadrant_correct,higher,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2,5000,20260722,1.0
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,-2.5374905199140352e-06,0.0,-0.0004521403255805176,0.0005237263676644587,0.5242,2.5374905199140352e-06,-0.0005237263676644588,0.0004521403255805174,0.5242,0.9880023995200959,12,2,5000,20260722,0.9880023995200959
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,-7.196170558112185e-07,0.0,-2.0323465891959093e-06,1.6346391006067527e-08,0.9582,7.196170558112185e-07,-1.6346391006067537e-08,2.0323465891959093e-06,0.9582,0.13737252549490103,12,2,5000,20260722,0.4121175764847031
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,before_any_defining_release,quadrant_brier_distance_to_exact_score_map,lower,180,4.1349182407692864e-06,0.0,-1.1973481007119621e-08,1.0633014680119563e-05,0.0866,-4.1349182407692864e-06,-1.0633014680119563e-05,1.1973481007119618e-08,0.0866,0.19696060787842432,12,2,5000,20260722,0.4121175764847031
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,4.436928882136895e-05,0.0,-0.0008474483603817391,0.0010089868233509698,0.4842,-4.436928882136895e-05,-0.0010089868233509704,0.0008474483603817389,0.4842,0.9268146370725855,12,2,5000,20260722,0.9268146370725855
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,-1.4455116773744632e-06,0.0,-4.04779308066984e-06,2.0746294209351403e-08,0.9664,1.4455116773744632e-06,-2.07462942093517e-08,4.047793080669837e-06,0.9664,0.1205758848230354,12,2,5000,20260722,0.3617276544691062
