comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,median_delta_score_center_negative_log_predictive_density,mean_block_benefit_score_center_negative_log_predictive_density,mean_delta_quadrant_cross_entropy_to_exact_score_map,median_delta_quadrant_cross_entropy_to_exact_score_map,mean_block_benefit_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,median_delta_quadrant_brier_distance_to_exact_score_map,mean_block_benefit_quadrant_brier_distance_to_exact_score_map,mean_delta_hard_quadrant_correct,median_delta_hard_quadrant_correct,mean_block_benefit_hard_quadrant_correct
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,descriptive_active_reference_months,after_midmonth_defining_releases,12,2018-12-01,2026-02-01,-0.0003304630112386427,0.0,-0.0003304630112386427,-0.00010492815411848137,0.0,-0.00010492815411848137,-5.1564416216310986e-05,0.0,-5.1564416216310986e-05,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,descriptive_active_reference_months,before_any_defining_release,12,2018-12-01,2026-02-01,-0.0003929445126611697,0.0,-0.0003929445126611697,-0.00023156315514716308,0.0,-0.00023156315514716308,-0.0001028932212887044,0.0,-0.0001028932212887044,0.0,0.0,-0.0
leave_one_out_monthly_labor_demand__vs__student_t_7_combined,leave_one_out_monthly_labor_demand,student_t_7_combined,monthly_labor_demand,leave_one_out,True,descriptive_active_reference_months,strict_pre_final_score_day,12,2018-12-01,2026-02-01,0.015738216550724143,0.009226537503054744,0.015738216550724143,0.0021099369465947446,0.0008092508191378522,0.0021099369465947446,0.001295527950182454,0.00046658563337305045,0.001295527950182454,0.0,0.0,-0.0
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,full_common_calendar,after_employment_situation,183,2011-01-01,2026-05-01,-0.00016761279753970713,0.0,0.00016761279753970713,-5.5164939207023707e-05,0.0,5.5164939207023707e-05,-2.752516572105554e-05,0.0,2.752516572105554e-05,0.0,0.0,0.0
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,full_common_calendar,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.07026974507755496,-0.018550543290373644,0.07026974507755496,0.00014136546649818208,-2.220446049250313e-16,-0.00014136546649818208,-8.977987944777924e-06,-2.99355722005977e-06,8.977987944777924e-06,-0.03825136612021858,0.0,-0.03825136612021858
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,full_common_calendar,before_any_defining_release,183,2011-01-01,2026-05-01,-0.0001869530144217507,0.0,0.0001869530144217507,-6.480420191291198e-05,0.0,6.480420191291198e-05,-3.0441065690289205e-05,0.0,3.0441065690289205e-05,0.0,0.0,0.0
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,full_common_calendar,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.07572329434687226,-0.0328304639724013,0.07572329434687226,0.0006271404717532488,-4.797835059577871e-06,-0.0006271404717532488,0.0002370973498178096,-4.261834761315822e-05,-0.0002370973498178096,-0.0546448087431694,0.0,-0.0546448087431694
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,descriptive_active_reference_months,after_employment_situation,179,2011-05-01,2026-05-01,-0.00017135833491489612,0.0,0.00017135833491489612,-5.639767527868904e-05,0.0,5.639767527868904e-05,-2.8140253223202032e-05,0.0,2.8140253223202032e-05,0.0,0.0,0.0
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,descriptive_active_reference_months,after_midmonth_defining_releases,179,2011-05-01,2026-05-01,-0.07184001871057297,-0.02265177174490418,0.07184001871057297,0.00014452447133613027,-4.797835059577871e-06,-0.00014452447133613027,-9.178613373711508e-06,-1.5921914680597227e-05,9.178613373711508e-06,-0.03910614525139665,0.0,-0.03910614525139665
add_one_consumer_demand__vs__partial_only,add_one_consumer_demand,partial_only,consumer_demand,add_one,True,descriptive_active_reference_months,before_any_defining_release,179,2011-05-01,2026-05-01,-0.00019113073541441553,0.0,0.00019113073541441553,-6.625234050314466e-05,0.0,6.625234050314466e-05,-3.1121312968284496e-05,0.0,3.1121312968284496e-05,0.0,0.0,0.0
