filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
leave_one_out_monthly_labor_demand,sensitivity,before_any_defining_release,183,26.855028208617448,1.5359155259332469,0.15057576784603527,0.47180891919699847,0.37158469945355194,4.245478164532747,0.7350739737478237,1.8200796566973387,4
student_t_7_combined,baseline,before_any_defining_release,183,26.85506441385424,1.535933257332195,0.15058402984277114,0.47182665059594686,0.37158469945355194,4.245499642261657,0.7350915955171579,1.8200796566973387,4
leave_one_out_inflation_expectations,sensitivity,before_any_defining_release,183,26.85506500531523,1.5359358841031723,0.15058542881583975,0.4718292773669241,0.37158469945355194,4.245510404959269,0.7350908776350508,1.8200796566973387,4
leave_one_out_housing_activity,sensitivity,before_any_defining_release,183,26.855069034297333,1.5359319129676074,0.15058336059719943,0.47182530623135904,0.37158469945355194,4.2455039881624375,0.7350905644028741,1.8200796566973387,4
leave_one_out_business_investment,sensitivity,before_any_defining_release,183,26.855074401921083,1.5359373531040916,0.15058593345682855,0.47183074636784317,0.37158469945355194,4.245500422863151,0.7350969854303953,1.8200796566973387,4
add_one_weekly_labor_stress,sensitivity,before_any_defining_release,183,26.85507618056094,1.5359349125288508,0.15058538337558874,0.47182830579260243,0.37158469945355194,4.24553350926284,0.735054037608309,1.8200796566973387,4
leave_one_out_consumer_demand,sensitivity,before_any_defining_release,183,26.8552593161048,1.5360022973211267,0.15061672753716976,0.4718956905848782,0.37158469945355194,4.245533961577981,0.7351649813853108,1.8200796566973387,4
add_one_consumer_demand,sensitivity,before_any_defining_release,183,26.920674828252004,1.536888142079872,0.1504864129528427,0.47278153534362355,0.36065573770491804,4.294655244210726,0.7384032918381616,1.8200796566973387,4
add_one_business_investment,sensitivity,before_any_defining_release,183,26.920837764824523,1.5369430414953835,0.15051234187400866,0.472836434759135,0.36065573770491804,4.29466012482509,0.7384630800230712,1.8200796566973387,4
partial_only,major_benchmark,before_any_defining_release,183,26.920861781266428,1.5369529462817848,0.150516854018533,0.47284633954553645,0.36065573770491804,4.294662018190844,0.7384759620797916,1.8200796566973387,4
add_one_inflation_expectations,sensitivity,before_any_defining_release,183,26.920865010300403,1.5369526674868967,0.1505168670285338,0.47284606075064844,0.36065573770491804,4.294660264040899,0.7384781811847947,1.8200796566973387,4
add_one_housing_activity,sensitivity,before_any_defining_release,183,26.920865670359603,1.5369546066439748,0.15051765300607028,0.4728479999077266,0.36065573770491804,4.294662215398861,0.7384772558598199,1.8200796566973387,4
leave_one_out_weekly_labor_stress,sensitivity,before_any_defining_release,183,26.920877417645837,1.5369582810679998,0.15051720201527977,0.4728516743317515,0.36065573770491804,4.2946637381838935,0.7385123184652379,1.8200796566973387,4
add_one_monthly_labor_demand,sensitivity,before_any_defining_release,183,26.920884113097216,1.5369668731215307,0.15052398345185863,0.47286026638528234,0.36065573770491804,4.294664656740521,0.7384936668145774,1.8200796566973387,4
add_one_inflation_input_costs,sensitivity,before_any_defining_release,183,26.92105205268975,1.537016205651335,0.1505438164696351,0.4729095989150867,0.36065573770491804,4.294671195620136,0.7385748630576063,1.8200796566973387,4
add_inflation_pressure_pair,sensitivity,before_any_defining_release,183,26.92105528172373,1.537015926856447,0.1505438294796359,0.4729093201201987,0.36065573770491804,4.294669441473938,0.7385770818654549,1.8200796566973387,4
transition_only,major_benchmark,before_any_defining_release,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
leave_one_out_inflation_input_costs,sensitivity,strict_pre_final_score_day,183,5.7196590737492885,1.3020084110460652,0.033899821475223677,0.23790180430981697,0.7650273224043715,1.4103619528759748,0.49465718112111984,-0.6690184784530571,4
leave_out_inflation_pressure_pair,sensitivity,strict_pre_final_score_day,183,5.719666536204817,1.3020095186913871,0.03390034276029231,0.23790291195513866,0.7650273224043715,1.4103622739041188,0.4946600701835129,-0.6690184784530571,4
student_t_7_combined,baseline,strict_pre_final_score_day,183,5.721140588346696,1.3022401127827408,0.03402295808163001,0.23813350604649253,0.7595628415300546,1.4109220119805614,0.4947032538333657,-0.6690184784530571,4
leave_one_out_inflation_expectations,sensitivity,strict_pre_final_score_day,183,5.721148687653591,1.3022413115071203,0.034023515673222766,0.23813470477087192,0.7595628415300546,1.4109224055813017,0.4947062878605444,-0.6690184784530571,4
leave_one_out_monthly_labor_demand,sensitivity,strict_pre_final_score_day,183,5.722179196310983,1.3023790222992941,0.0341081946101629,0.2382724155630458,0.7595628415300546,1.4111609177924653,0.4947072998181712,-0.6690184784530571,4
