checkpoint_id,filter_variant,as_of_date,checkpoint_type,regime_0,regime_1,regime_2,regime_3,probability,sobol_samples,maximum_marginal_probability_error
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_down_inflation_up,0.00390625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_up_inflation_down,0.00360107421875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_down_inflation_down,0.00274658203125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,0.01092529296875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,0.01202392578125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,0.00799560546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,0.00494384765625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_up,0.015869140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_up,0.020263671875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_down,0.0130615234375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_down,0.0084228515625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,0.00482177734375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,0.00750732421875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,0.00653076171875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,0.0050048828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,0.00579833984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,0.009765625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,0.0069580078125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,0.00726318359375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,0.00994873046875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,0.01226806640625,16384,0.001393725632879178
