filter_variant,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
student_t_7_combined,before_any_defining_release,183,26.85506441385424,1.535933257332195,0.15058402984277114,0.47182665059594686,0.37158469945355194,4.245499642261657,0.7350915955171579,1.8200796566973387,4
selected_tail_combined,before_any_defining_release,183,26.886316565518527,1.5362983388780387,0.15091081608955895,0.4721917321417903,0.3770491803278688,4.271822300146577,0.7333051306156696,1.8200796566973387,4
partial_only,before_any_defining_release,183,26.920861781266428,1.5369529462817848,0.150516854018533,0.47284633954553645,0.36065573770491804,4.294662018190844,0.7384759620797916,1.8200796566973387,4
transition_only,before_any_defining_release,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
student_t_var_combined,before_any_defining_release,183,32.59318547558395,1.5266046351996232,0.14641141890400108,0.46249802846337473,0.3114754098360656,4.307107740088556,0.7210276258963441,1.1017433422382117,4
retail_real_decomposition_combined,before_any_defining_release,183,32.718960495664035,1.523870370811148,0.14530075776623683,0.4597637640748995,0.32786885245901637,4.308457095014657,0.7176194691094516,1.4353220759898795,4
huber_var_combined,before_any_defining_release,183,32.71989872452932,1.5240879553656397,0.14540610159651338,0.45998134862939144,0.32786885245901637,4.308456975260475,0.7180687463449651,1.4353220759898795,4
retail_shrinkage_combined,before_any_defining_release,183,32.71994826498684,1.5241064550093766,0.14541533068975043,0.4599998482731282,0.32786885245901637,4.30845878063087,0.7180822703465625,1.4353220759898795,4
selected_tail_combined,strict_pre_final_score_day,183,5.71976571127327,1.302625738837682,0.034271812630831004,0.23851913210143386,0.73224043715847,1.4233016678306747,0.4946038463673358,-0.7000972512437618,4
student_t_7_combined,strict_pre_final_score_day,183,5.721140588346696,1.3022401127827408,0.03402295808163001,0.23813350604649253,0.7595628415300546,1.4109220119805614,0.4947032538333657,-0.6690184784530571,4
partial_only,strict_pre_final_score_day,183,5.835589683205558,1.3003350492954844,0.03311380484690474,0.2362284425592359,0.825136612021858,1.4474340937016814,0.48683712721996164,-0.648447436324195,4
gaussian_combined,strict_pre_final_score_day,183,6.270247727697294,1.3012962611213117,0.03307973017390025,0.23718965438506343,0.7868852459016393,1.0759718948218853,0.557449446191106,-0.696803662492606,4
retail_real_decomposition_combined,strict_pre_final_score_day,183,10.386766756195826,1.2970459987818428,0.03218591877237638,0.2329393920455944,0.726775956284153,1.9593749125370883,0.4479101856147439,-0.7344753155172783,4
retail_shrinkage_combined,strict_pre_final_score_day,183,10.446166057833063,1.3006818881454207,0.03319780312295402,0.23657528140917244,0.7431693989071039,1.9591836199592307,0.4784181498915,-0.6794764648276166,4
huber_var_combined,strict_pre_final_score_day,183,10.449992477776862,1.3007372057102444,0.03320242654257405,0.23663059897399605,0.7377049180327869,1.9592255582309803,0.4789956045570462,-0.7026838711140568,4
student_t_var_combined,strict_pre_final_score_day,183,11.28494970690779,1.3012495840523204,0.03330096288184071,0.2371429773160721,0.7431693989071039,2.014085199037922,0.4665512587809338,-0.7245338478344716,4
transition_only,strict_pre_final_score_day,183,26.91905050798631,1.5365413241079706,0.15028277316786048,0.47243471737172216,0.34972677595628415,4.2947175013760885,0.7379022364967949,1.8200796566973392,4
gaussian_nondefining,strict_pre_final_score_day,183,28.064851569670715,1.5705687154975292,0.15790806471123014,0.5064621087612808,0.33879781420765026,3.4964854417223257,0.8802291146274468,1.7341684883666661,4
