evaluation_sample,filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
full_sample,student_t_var_combined,sensitivity,strict_pre_final_score_day,183,11.28494970690779,1.3012495840523204,0.03330096288184071,0.2371429773160721,0.7431693989071039,2.014085199037922,0.4665512587809338,-0.7245338478344716,4
full_sample,transition_only,major_benchmark,strict_pre_final_score_day,183,26.91905050798631,1.5365413241079706,0.15028277316786048,0.47243471737172216,0.34972677595628415,4.2947175013760885,0.7379022364967949,1.8200796566973392,4
full_sample,gaussian_nondefining,sensitivity,strict_pre_final_score_day,183,28.064851569670715,1.5705687154975292,0.15790806471123014,0.5064621087612808,0.33879781420765026,3.4964854417223257,0.8802291146274468,1.7341684883666661,4
excluding_2020_03_through_2020_05,student_t_var_combined,sensitivity,after_employment_situation,180,1.3194736980651471,1.2620863492643353,0.08792078884528912,0.18261649615871578,0.4777777777777778,0.40637397658015373,0.5667853834163745,0.7888128356386859,4
excluding_2020_03_through_2020_05,retail_real_decomposition_combined,sensitivity,after_employment_situation,180,1.4042070628768997,1.258805317239212,0.08640798203343615,0.17933546413359233,0.5166666666666667,0.3506159629821981,0.5575587601382986,1.1666113576791914,4
excluding_2020_03_through_2020_05,huber_var_combined,sensitivity,after_employment_situation,180,1.4050291867624267,1.2589252202107353,0.08646630964349233,0.1794553671051156,0.5166666666666667,0.3506349151589622,0.5579346291558203,1.1666132157826499,4
excluding_2020_03_through_2020_05,retail_shrinkage_combined,sensitivity,after_employment_situation,180,1.4050674528034852,1.2589367322775682,0.08647205261900685,0.1794668791719486,0.5166666666666667,0.35063993163220714,0.5579521923320105,1.1666131727268452,4
excluding_2020_03_through_2020_05,selected_tail_combined,sensitivity,after_employment_situation,180,1.545757205119117,1.2598729021425232,0.0869570721857621,0.18040304903690363,0.5388888888888889,0.36919388636798656,0.5645649236257296,1.429079972739887,4
excluding_2020_03_through_2020_05,student_t_7_combined,baseline,after_employment_situation,180,1.5463592542412603,1.2598112221426871,0.08690331623316475,0.18034136903706763,0.5333333333333333,0.3684252816184984,0.5646721870408291,1.4299471121919138,4
excluding_2020_03_through_2020_05,partial_only,major_benchmark,after_employment_situation,180,1.5493581290327092,1.259941189797516,0.08690922669166776,0.18047133669189638,0.5277777777777778,0.37609877288826615,0.5653958517362837,1.4320660606154485,4
excluding_2020_03_through_2020_05,gaussian_combined,sensitivity,after_employment_situation,180,1.5494408503548898,1.260018466919836,0.08692702396073283,0.1805486138142164,0.5277777777777778,0.37721488169617645,0.565609329571346,1.4315904605301688,4
excluding_2020_03_through_2020_05,gaussian_nondefining,sensitivity,after_employment_situation,180,2.28839981412244,1.3569577545841243,0.1339206324746551,0.27748790147850466,0.36666666666666664,0.8902900036150598,0.6217668183143376,1.8101118306586832,4
excluding_2020_03_through_2020_05,transition_only,major_benchmark,after_employment_situation,180,2.28844811410381,1.3564997030001085,0.1337121912641903,0.27702984989448887,0.36666666666666664,0.8835124721536066,0.6209166249541732,1.8101118306586832,4
excluding_2020_03_through_2020_05,student_t_var_combined,sensitivity,after_midmonth_defining_releases,180,-0.12392343679671848,1.1317967213903857,0.02364294201444436,0.05232686828476604,0.7444444444444445,0.25577903873638763,0.4135222552645798,-0.7764607929560152,4
excluding_2020_03_through_2020_05,retail_real_decomposition_combined,sensitivity,after_midmonth_defining_releases,180,-0.10698912123194552,1.127412379806891,0.022146635848768668,0.0479425267012713,0.75,0.19297188884146155,0.38485298139467355,-0.7598260432455344,4
excluding_2020_03_through_2020_05,retail_shrinkage_combined,sensitivity,after_midmonth_defining_releases,180,-0.07495684570056257,1.1302383787431682,0.022983450884906508,0.05076852563754875,0.7722222222222223,0.18031514472816265,0.4123520748572351,-0.7506482497326333,4
