filter_variant,comparison_baseline,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
selected_tail_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-19.282874018589183,-14.069666572603456,-0.13855206911405932,-0.10152971379011029,-0.048599838274016066,-0.10152971379011025,0.17486338797814208
selected_tail_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-21.165401038561757,-16.37451254734135,-0.30271752975758254,-0.23647720264546926,-0.11729256304575632,-0.2364772026454692,0.4207650273224044
selected_tail_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,-0.035248378405308776,-0.1919144773690403,-0.007912335057702101,0.0010231664792548047,0.0013048161300139402,0.0010231664792548169,0.01639344262295082
selected_tail_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-21.199284796713044,-16.418810778976503,-0.2998667457856087,-0.2339155852702883,-0.11601096053702947,-0.23391558527028827,0.3825136612021858
student_t_7_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-19.31201735537945,-14.171307785399172,-0.13734858999664645,-0.10158208571358392,-0.04865230171860797,-0.10158208571358392,0.16939890710382513
student_t_7_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-21.17147596912614,-16.41628860405655,-0.30249207312083604,-0.23676110563558245,-0.11747581840168796,-0.23676110563558248,0.4262295081967213
student_t_7_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,-0.06650053006959106,-0.4161130289547797,-0.005289095845005452,0.0006580849334114188,0.0009780298832261314,0.0006580849334114209,0.01092896174863388
student_t_7_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-21.197909919639617,-16.4538974927348,-0.29976840127365234,-0.23430121132522957,-0.11625981508623047,-0.23430121132522957,0.4098360655737705
student_t_var_combined,transition_only,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,-13.296209652572342,-12.334031238862485,-0.15706266662574478,-0.09895133506092332,-0.047225948615363764,-0.0989513350609233,0.11475409836065574
student_t_var_combined,transition_only,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-15.579828752381442,-14.349236947187622,-0.32750363527004717,-0.2356833635841243,-0.11711783640949376,-0.23568336358412434,0.3989071038251366
student_t_var_combined,transition_only,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,5.67162053166012,0.11079684333210779,-0.025767912339247943,-0.008670537199160661,-0.00319458105554393,-0.008670537199160677,-0.04918032786885246
student_t_var_combined,transition_only,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-15.634100801078514,-14.388059227642447,-0.326829633556898,-0.23529174005565007,-0.11698181028601978,-0.23529174005565007,0.39344262295081966
retail_shrinkage_combined,huber_var_combined,all_common_evaluation_months,after_employment_situation,183,2011-01-01,2026-05-01,3.777871832590536e-05,3.6040369731262667e-06,1.9276353640798014e-05,1.1323339095038264e-05,5.64882894910651e-06,1.1323339095034763e-05,0.0
retail_shrinkage_combined,huber_var_combined,all_common_evaluation_months,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,-0.0030589682505353893,-3.720003464830141e-05,-0.0006258685050111157,9.346409816870722e-07,3.3039754411819276e-05,9.346409816898306e-07,0.0
retail_shrinkage_combined,huber_var_combined,all_common_evaluation_months,before_any_defining_release,183,2011-01-01,2026-05-01,4.9540457523444766e-05,1.5556724602810786e-05,1.9422508643794247e-05,1.8499643736692058e-05,9.229093237052726e-06,1.849964373670105e-05,0.0
retail_shrinkage_combined,huber_var_combined,all_common_evaluation_months,strict_pre_final_score_day,183,2011-01-01,2026-05-01,-0.003826419943800385,-0.00016433130893998816,-0.0005528630393644721,-5.531756482354321e-05,-4.62341962002487e-06,-5.531756482357752e-05,0.00546448087431694
retail_real_decomposition_combined,huber_var_combined,direct_real_retail_update_reference_months,after_employment_situation,178,2011-06-01,2026-05-01,-0.0008275823183115116,-9.534658023124266e-06,-0.0004240142959669075,-0.00012125036572495097,-5.898297965159389e-05,-0.00012125036572494018,0.0
retail_real_decomposition_combined,huber_var_combined,direct_real_retail_update_reference_months,after_midmonth_defining_releases,178,2011-06-01,2026-05-01,-0.04677169035046545,0.0016304242318739347,-0.022936166818198864,-0.002863408278441299,-0.0008164244315020442,-0.002863408278441326,-0.02247191011235955
retail_real_decomposition_combined,huber_var_combined,direct_real_retail_update_reference_months,before_any_defining_release,178,2011-06-01,2026-05-01,-0.0009645836086931379,1.060897774444306e-06,-0.0006631406289171123,-0.00022369648017993684,-0.00010830292663262074,-0.00022369648017992415,0.0
retail_real_decomposition_combined,huber_var_combined,direct_real_retail_update_reference_months,strict_pre_final_score_day,178,2011-06-01,2026-05-01,-0.06508910435548858,0.0005963115010627031,-0.029624137520565468,-0.0038012846969537224,-0.0010494510755866605,-0.003801284696953753,-0.011235955056179775
