specification_id,checkpoint_type,release_number,observation_count,first_target_month,last_target_month,negative_log_likelihood,multiclass_brier_score,map_accuracy,balanced_accuracy,macro_recall,macro_f1,growth_axis_brier_score,inflation_axis_brier_score,top_label_expected_calibration_error,classwise_expected_calibration_error,mean_posterior_entropy,transition_only_negative_log_likelihood,transition_only_multiclass_brier_score,negative_log_likelihood_difference,brier_skill_vs_transition_only
sensitivity_covariance_fixed_spherical_0.75,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0128962967264317,0.5651159549567923,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.16923226851998524,0.15442267887256644,0.17669478161968744,0.14326343531612917,1.1323197285203976,1.0738834124753474,0.5812062747679215,-0.06098711574891569,0.027684353231654524
sensitivity_covariance_fixed_spherical_0.75,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9881687867818064,0.5592034758423744,0.6288659793814433,0.3391968727789623,0.3391968727789623,0.32298245614035087,0.16757422908413777,0.14869834558990386,0.12900232596316635,0.12384650722942915,1.089992937925794,1.0732499393634654,0.5819064528447937,-0.08508115258165894,0.03901482255683908
sensitivity_covariance_fixed_spherical_0.75,post_icsa_release,3.0,97,2018-01-01,2026-05-01,0.9985271190285894,0.5696296554054364,0.6185567010309279,0.2646321961620469,0.2646321961620469,0.24367321867321867,0.17353500931221127,0.14522458635489857,0.1366368065179382,0.12198668383940488,1.0635136848916147,1.0962382224422698,0.5955915448279111,-0.09771110341368039,0.04359009063833508
sensitivity_covariance_fixed_spherical_0.75,post_icsa_release,4.0,97,2018-01-01,2026-05-01,0.889394721343888,0.4994096130910825,0.711340206185567,0.34205756929637526,0.34205756929637526,0.3513605442176871,0.14808297924397765,0.12280328840676238,0.17700446478335705,0.11449310731739838,1.011708116034098,0.978436478631199,0.5266960114659502,-0.08904175728731101,0.05180673060143681
sensitivity_covariance_fixed_spherical_0.75,post_icsa_release,5.0,32,2018-06-01,2026-05-01,0.897812607210227,0.5334862860059787,0.65625,0.3644444444444444,0.3644444444444444,0.29791666666666666,0.16387399933614116,0.10937151844877115,0.19249070665512713,0.14959722641519455,0.8959880234709768,0.9408198056495553,0.5357819357497728,-0.04300719843932821,0.0042846717864454265
sensitivity_covariance_fixed_spherical_0.75,pre_confirmation,,97,2018-01-01,2026-05-01,0.9388769487945878,0.53325425098409,0.6494845360824743,0.3021321961620469,0.3021321961620469,0.30442176870748294,0.17648414839499596,0.12248632738276212,0.09200791839463654,0.09626445832259761,0.8763198405558842,0.9558102735720289,0.5186571056637578,-0.016933324777441028,-0.028144115179240314
sensitivity_df_10,month_end,,97,2018-01-01,2026-05-01,0.923052975939358,0.5194402780088181,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.1620711989938391,0.12857007979105986,0.13300849991397462,0.10207437720423322,0.9461616525809263,0.9819034601000103,0.5329581423797433,-0.058850484160652305,0.025363838725806387
sensitivity_df_10,month_start,,97,2018-01-01,2026-05-01,1.0555267511431943,0.578767857765587,0.6082474226804123,0.3317341862117981,0.3317341862117981,0.31637709137709136,0.1668678327799498,0.1709472439971828,0.1338401773772517,0.14211769418171663,1.189249067057942,1.08272417551697,0.5868058383224631,-0.027197424373775814,0.013697853756627132
sensitivity_df_10,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0149572982927428,0.5655985389078055,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.16895400237703836,0.15521629579904284,0.1776650464471972,0.14388324290293664,1.1369223784207658,1.0738834124753474,0.5812062747679215,-0.058926114182604517,0.02685403881151871
sensitivity_df_10,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9931442689253968,0.5611401222862908,0.6288659793814433,0.3391968727789623,0.3391968727789623,0.32298245614035087,0.1685030434828976,0.14975332823628199,0.13801527991172005,0.12476096988306992,1.0955613261425703,1.0732499393634654,0.5819064528447937,-0.0801056704380686,0.035686716407734465
sensitivity_df_10,post_icsa_release,3.0,97,2018-01-01,2026-05-01,1.0024165041337423,0.5712147208341741,0.6185567010309279,0.255863539445629,0.255863539445629,0.22298245614035087,0.17432088777301039,0.14604582138850553,0.15525417278019663,0.12544702881915518,1.0686609789553898,1.0962382224422698,0.5955915448279111,-0.09382171830852748,0.040928761003113934
sensitivity_df_10,post_icsa_release,4.0,97,2018-01-01,2026-05-01,0.8899289032991669,0.49924660405156723,0.711340206185567,0.34205756929637526,0.34205756929637526,0.3513605442176871,0.14859095001147188,0.1222806790939983,0.19260203368684306,0.11177605228117544,1.0154205157798792,0.978436478631199,0.5266960114659502,-0.08850757533203213,0.05211622419160389
sensitivity_df_10,post_icsa_release,5.0,32,2018-06-01,2026-05-01,0.8974014429783042,0.5332383950694666,0.65625,0.3644444444444444,0.3644444444444444,0.29791666666666666,0.16321216399447921,0.1098286010311669,0.19217144975850128,0.14954346862785448,0.897442997936408,0.9408198056495553,0.5357819357497728,-0.0434183626712511,0.004747343108436164
sensitivity_df_10,pre_confirmation,,97,2018-01-01,2026-05-01,0.9347336826864678,0.5310581538718788,0.6185567010309279,0.29093816631130065,0.29093816631130065,0.2909722222222222,0.1757690097305501,0.12254251046331106,0.08780446614414544,0.09360104198361863,0.8821629307342814,0.9558102735720289,0.5186571056637578,-0.02107659088556102,-0.023909916730535663
sensitivity_df_3,month_end,,97,2018-01-01,2026-05-01,0.9207552893027373,0.5179700314174929,0.6494845360824743,0.34597547974413645,0.34597547974413645,0.3487945803573547,0.16137852839548758,0.12872325976791266,0.11098375192038999,0.09692591728916952,0.9315929892231692,0.9819034601000103,0.5329581423797433,-0.06114817079727297,0.028122491750151468
sensitivity_df_3,month_start,,97,2018-01-01,2026-05-01,1.0515231477295537,0.5774112310827452,0.5979381443298969,0.328002842928216,0.328002842928216,0.3132034632034632,0.16639724535382522,0.16988084963927125,0.13426207358832296,0.14026574245656645,1.1863337631076338,1.08272417551697,0.5868058383224631,-0.031201027787416402,0.01600973716719467
sensitivity_df_3,post_icsa_release,1.0,97,2018-01-01,2026-05-01,1.0015152858037568,0.5629943542499823,0.6391752577319587,0.3429282160625444,0.3429282160625444,0.326780185758514,0.1699890115128107,0.15053046927622576,0.1388986074400149,0.13312089241508804,1.1044195523730167,1.0738834124753474,0.5812062747679215,-0.07236812667159054,0.031334693565053584
sensitivity_df_3,post_icsa_release,2.0,97,2018-01-01,2026-05-01,0.9784041901958538,0.5569965507755557,0.6288659793814433,0.3391968727789623,0.3391968727789623,0.32298245614035087,0.16658530071373162,0.14777012861402153,0.11639369261246722,0.12386205884217602,1.0626365332684138,1.0732499393634654,0.5819064528447937,-0.09484574916761157,0.04280739962146807
