reference_month,growth_score,inflation_score,growth_score_available_at,inflation_score_available_at,score_available_at,data_status
2008-06-01,-0.3421000340876951,0.7988284567711473,2008-08-04,2008-08-04,2008-08-04,score_available
2008-07-01,-0.8924553831056379,1.1673486599311405,2008-08-29,2008-08-29,2008-08-29,score_available
2008-08-01,-1.669965009833873,0.48565411530522967,2008-09-29,2008-09-29,2008-09-29,score_available
2008-09-01,-2.2541496068491718,-0.0067644013173234485,2008-10-31,2008-10-31,2008-10-31,score_available
2008-10-01,-0.999052070602739,-0.7763768273665566,2008-11-26,2008-11-26,2008-11-26,score_available
2008-11-01,-1.300674077278579,-0.4519772389586685,2008-12-24,2008-12-24,2008-12-24,score_available
2008-12-01,-2.888088661694144,-0.7222584586798584,2009-02-02,2009-02-02,2009-02-02,score_available
2009-01-01,-2.275328205302297,0.21104815086862228,2009-03-02,2009-03-02,2009-03-02,score_available
2009-02-01,-2.6182393799447534,0.06928476590447971,2009-03-27,2009-03-27,2009-03-27,score_available
2009-03-01,-2.471250750975263,-0.264045239016994,2009-04-30,2009-04-30,2009-04-30,score_available
2009-04-01,-1.7984971425174063,-0.06808373003448193,2009-06-01,2009-06-01,2009-06-01,score_available
2009-05-01,-1.7498325485747368,-0.6086375968742412,2009-06-26,2009-06-26,2009-06-26,score_available
2009-06-01,-1.2011205198184307,-0.05262698570187374,2009-08-04,2009-08-04,2009-08-04,score_available
2009-07-01,-0.03716419904283705,-0.6924136978255652,2009-08-28,2009-08-28,2009-08-28,score_available
2009-08-01,-0.012303689981314758,-0.2268279856378743,2009-10-01,2009-10-01,2009-10-01,score_available
2009-09-01,-0.7898062505798505,-0.595605654944342,2009-10-30,2009-10-30,2009-10-30,score_available
2009-10-01,-0.7565868486699769,-0.5114922994953881,2009-11-25,2009-11-25,2009-11-25,score_available
2009-11-01,0.516098950861784,-0.6766542540834031,2009-12-23,2009-12-23,2009-12-23,score_available
2009-12-01,0.0038364889926813042,-0.5590278321975669,2010-02-01,2010-02-01,2010-02-01,score_available
2010-01-01,0.7587189671403385,-0.85084933150977,2010-03-01,2010-03-01,2010-03-01,score_available
2010-02-01,-0.03894852840024332,-0.7236528629116258,2010-03-29,2010-03-29,2010-03-29,score_available
2010-03-01,0.2920463168245736,-1.1566381060027644,2010-05-03,2010-05-03,2010-05-03,score_available
2010-04-01,0.1697828948975748,-0.2996718170688006,2010-05-28,2010-05-28,2010-05-28,score_available
2010-05-01,1.2417136297720552,-0.07614772515254814,2010-06-28,2010-06-28,2010-06-28,score_available
2010-06-01,-0.01182041623306368,-0.6954075045761827,2010-08-03,2010-08-03,2010-08-03,score_available
2010-07-01,0.1252635050931177,-0.2215513174401167,2010-08-30,2010-08-30,2010-08-30,score_available
2010-08-01,-0.2845820630553425,-0.5818976702857279,2010-10-01,2010-10-01,2010-10-01,score_available
2010-09-01,-0.4012882426688653,-0.9804017408064792,2010-11-01,2010-11-01,2010-11-01,score_available
2010-10-01,0.10262961480403804,-1.0713133824600058,2010-11-24,2010-11-24,2010-11-24,score_available
2010-11-01,-0.10588231674858478,-0.5595265527802409,2010-12-23,2010-12-23,2010-12-23,score_available
2010-12-01,1.0178450707424656,-0.5683307243126589,2011-01-31,2011-01-31,2011-01-31,score_available
2011-01-01,0.28712432096108953,0.80349108434899,2011-02-28,2011-02-28,2011-02-28,score_available
2011-02-01,0.24554667628031157,-0.2237865809110609,2011-03-28,2011-03-28,2011-03-28,score_available
2011-03-01,0.5846892386984761,-0.5518765986170552,2011-04-29,2011-04-29,2011-04-29,score_available
2011-04-01,-0.21520543887349697,0.2903115766490572,2011-05-27,2011-05-27,2011-05-27,score_available
2011-05-01,-0.37188872750639224,0.659643546910855,2011-06-27,2011-06-27,2011-06-27,score_available
2011-06-01,-0.31601835402736045,-0.12933562858721698,2011-08-02,2011-08-02,2011-08-02,score_available
2011-07-01,0.7007477511702902,0.8157125152288556,2011-08-29,2011-08-29,2011-08-29,score_available
2011-08-01,-0.20288912262638256,-0.43213313884476046,2011-09-30,2011-09-30,2011-09-30,score_available
2011-09-01,0.2487550816313825,-0.5912037047115172,2011-10-28,2011-10-28,2011-10-28,score_available
2011-10-01,0.34766866634112104,-0.44990718485009507,2011-11-23,2011-11-23,2011-11-23,score_available
2011-11-01,0.4574587485578975,-0.318238700028702,2011-12-23,2011-12-23,2011-12-23,score_available
2011-12-01,0.3874059346206049,-0.24625230745734922,2012-01-30,2012-01-30,2012-01-30,score_available
2012-01-01,0.3387308990955858,0.25931692725726474,2012-03-01,2012-03-01,2012-03-01,score_available
2012-02-01,0.3254383698373936,-0.3014653291142212,2012-03-30,2012-03-30,2012-03-30,score_available
2012-03-01,0.053629192192845676,0.19306190365925197,2012-04-30,2012-04-30,2012-04-30,score_available
2012-04-01,0.648274876672565,0.0819690274721703,2012-06-01,2012-06-01,2012-06-01,score_available
2012-05-01,-0.27511088551239515,-0.39030551202036057,2012-06-29,2012-06-29,2012-06-29,score_available
2012-06-01,-0.07407419712817521,0.33259021302274006,2012-07-31,2012-07-31,2012-07-31,score_available
2012-07-01,0.326360861118546,-0.3377715989776751,2012-08-30,2012-08-30,2012-08-30,score_available
2012-08-01,-0.32073030496168387,-0.7512228333507392,2012-09-28,2012-09-28,2012-09-28,score_available
2012-09-01,0.7282808870020498,-0.1785607764910756,2012-10-29,2012-10-29,2012-10-29,score_available
2012-10-01,-0.5946660411515603,-0.7532490601552997,2012-11-30,2012-11-30,2012-11-30,score_available
2012-11-01,1.0140441532405449,-0.4600076179993364,2012-12-21,2012-12-21,2012-12-21,score_available
2012-12-01,0.18263059754173616,-0.3508283608491688,2013-01-31,2013-01-31,2013-01-31,score_available
2013-01-01,-0.17755916505934138,0.36255752996560114,2013-03-01,2013-03-01,2013-03-01,score_available
2013-02-01,0.7848186351439528,-0.0546958530765405,2013-03-29,2013-03-29,2013-03-29,score_available
2013-03-01,0.3482643328449309,-0.7765587568672798,2013-04-29,2013-04-29,2013-04-29,score_available
2013-04-01,-0.12259592007134104,-0.7567359017922995,2013-05-31,2013-05-31,2013-05-31,score_available
2013-05-01,-0.08105772959325665,-0.4097051743213099,2013-06-27,2013-06-27,2013-06-27,score_available
