evaluation_sample,filter_variant,comparison_reference,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_baseline,bootstrap_confidence_level,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,centered_two_sided_p_value,block_length_months,replications,random_seed,holm_family_member,holm_adjusted_p_value
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_midmonth_defining_releases,hard_quadrant_correct,higher,180,0.0,0.95,0.0,0.0,0.0,1.0,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,0.006133420200175525,0.95,0.00046784691329825685,0.013328012522126384,0.0102,0.054989002199560086,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,0.005504902164049156,0.95,0.0001753478246515392,0.011884558017383055,0.0172,0.05798840231953609,12,5000,20260722,True,0.3479304139172166
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.00011394054470973375,0.95,-0.0002733230206571168,1.1049775665854708e-05,0.961,0.10917816436712657,12,5000,20260722,True,0.5458908218356329
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-0.00014405635193543624,0.95,-0.0013554695725552686,0.0008881277278653907,0.5798,0.7980403919216157,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,9.878632327625966e-06,0.95,-3.295226216962693e-05,7.281486401238087e-05,0.4078,0.7206558688262348,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,0.0006601552315293857,0.95,-0.0006380663103216524,0.002261213636918124,0.1952,0.375124975004999,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,after_midmonth_defining_releases,quadrant_brier_distance_to_exact_score_map,lower,180,-9.209938194500424e-06,0.95,-3.0580447404653e-05,2.41515513866611e-06,0.6932,0.5474905018996201,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,0.011174014168179062,0.95,-0.0015907018662623018,0.027344441739654512,0.0468,0.1275744851029794,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,0.01088639220767156,0.95,-0.00020401729250689254,0.024097533685255166,0.0284,0.07978404319136173,12,5000,20260722,True,0.4787042591481704
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00013724528281529931,0.95,-0.00035563743715570113,5.368520661877629e-05,0.9094,0.1865626874625075,12,5000,20260722,True,0.9328134373125375
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,after_midmonth_defining_releases,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00034690224373277084,0.95,-0.002689225927770408,0.0016735928276221737,0.6046,0.7464507098580284,12,5000,20260722,True,1.0
