left_block_id,left_model_id,left_response_id,right_block_id,right_model_id,right_response_id,same_economic_block,lag_months,statistic,correlation,sample_count,p_value,q_value,status,bh_family,lag_definition,left_serial_dependence_detected,right_serial_dependence_detected,serial_dependence_detected_either,correlation_p_q_interpretation
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,-1,pearson,-0.1703642253711076,93,0.10253797589016336,0.3105068486203693,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,-1,spearman,-0.03482438602250007,93,0.7403478819776863,0.8945016541246001,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,0,pearson,-0.18787676603260714,95,0.06826909956481138,0.2338579793603113,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,0,spearman,-0.0776875699888018,95,0.4542715799769387,0.7375232710213828,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,1,pearson,-0.21083257524745425,94,0.04137661775889852,0.17043852082887004,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_empire_state,empire_current_prices_paid_level,False,1,spearman,-0.11921395802478055,94,0.25243952148000626,0.5359485225267825,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,-1,pearson,-0.3760754314579396,79,0.0006362804404838703,0.0062085546010850375,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,-1,spearman,-0.39454722492697175,79,0.000320614138461447,0.0033302500833737396,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,0,pearson,-0.45510164559020927,81,1.9670716990851872e-05,0.00031005972911593365,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,0,spearman,-0.40429087624209575,81,0.00018169300692463596,0.0020408772638278875,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,1,pearson,-0.2543129646744928,80,0.02282144467137129,0.11789045750023887,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_new_orders_level,False,1,spearman,-0.33183309892170654,80,0.0026384910953189326,0.021599850831170244,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,-1,pearson,-0.016806276035093222,79,0.8831266190335334,0.9582765715283116,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,-1,spearman,0.09810126582278482,79,0.3897216146033252,0.69204242593164,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,0,pearson,-0.02871602527375969,81,0.7991249523471043,0.9179009559658772,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,0,spearman,0.061472448057813905,81,0.5856373270015701,0.8077773899183804,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,1,pearson,-0.09879391725274991,80,0.3832803685425081,0.6843786247912436,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,manufacturing_surveys,manufacturing_philadelphia,philadelphia_current_prices_paid_level,False,1,spearman,-0.028926394749179563,80,0.7989495113278109,0.9179009559658772,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,-1,pearson,-0.017036411624857015,92,0.8719477087554599,0.952403819350105,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,-1,spearman,-0.009077878643096034,92,0.9315592639915928,0.9723935510395314,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,0,pearson,0.0010505790047877024,94,0.9919818278233582,0.9960692654237691,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,0,spearman,0.03423761875519272,94,0.7432136101748462,0.8946328163320841,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,1,pearson,0.2212505818566099,93,0.033064824683796824,0.15183590537639743,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
business_investment,business_investment_backlog,capital_goods_backlog_to_shipments_log_ratio_level,monthly_labor_demand,monthly_labor_demand,hires_rate_change,False,1,spearman,0.04441825072364298,93,0.6724634469820917,0.861538050112335,ok,all_cross_model_pairs_statistics_and_lags,right_reference_month = left_reference_month + lag_months,True,True,True,exploratory_serial_dependence_detected
