filter_variant,model_role,comparison_reference,reference_model_role,comparison_scope,evaluation_checkpoint,paired_months,first_paired_month,last_paired_month,mean_delta_score_center_negative_log_predictive_density,mean_delta_growth_squared_error,mean_delta_inflation_squared_error,mean_delta_quadrant_cross_entropy_to_exact_score_map,mean_delta_quadrant_brier_distance_to_exact_score_map,mean_delta_quadrant_kl_divergence_to_exact_score_map,mean_delta_hard_quadrant_correct
candidate_all_six,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,0.06266887339038894,1.2807833921486396,-0.010524082156259567,0.05160010294342504,0.024278468740072223,0.051600102943425034,-0.01092896174863388
candidate_all_six,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,3.1442851852233114,0.33842272810619806,0.0035587902317182085,0.011469741229372938,0.006428041938442683,0.011469741229372896,-0.03825136612021858
priority_01_empire_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,0.027840180453126848,0.05466437511220111,-0.0055982791669730554,0.005283245992954448,0.0034111771498795975,0.005283245992954415,0.0
priority_01_empire_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.029365765105059845,-0.012236484070734075,0.0055006241364167,0.005086596380055713,0.002654863577232491,0.0050865963800557565,-0.0273224043715847
priority_01_empire_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,0.020108241949788982,0.7817726414101407,-0.009654495661480618,0.023694364199470224,0.014276973426339625,0.0236943641994702,-0.00546448087431694
priority_01_empire_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.03160550456772901,-0.00907052324561421,0.004933493986521345,0.005381836870145823,0.0028124485119630444,0.005381836870145829,-0.02185792349726776
priority_01_philadelphia_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_employment_situation,183,2011-01-01,2026-05-01,0.021335496146119633,0.010665196480108155,-0.0040962933465903675,0.0021643286539012197,0.0015524397574074578,0.002164328653901214,0.00546448087431694
priority_01_philadelphia_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,after_midmonth_defining_releases,183,2011-01-01,2026-05-01,0.04169547569217728,0.016094879163481388,0.005196637969315314,0.003421239277653491,0.0017256980777003769,0.003421239277653539,-0.01092896174863388
priority_01_philadelphia_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,before_any_defining_release,183,2011-01-01,2026-05-01,0.005073246052150355,0.4524496973982865,-0.008986290625952126,0.012760935663894364,0.008559147910109395,0.012760935663894364,0.0
priority_01_philadelphia_only,sensitivity,student_t_7_combined,baseline,sensitivity_vs_selected_baseline,strict_pre_final_score_day,183,2011-01-01,2026-05-01,0.023222568521661574,-0.03892811253446293,0.005665244634264597,0.004136515885434593,0.002144040762018855,0.004136515885434597,-0.01639344262295082
